#NODE
n1,00:00:00:00:00:01,192.168.0.2/24,192.168.0.1
n2,00:00:00:00:00:02,192.168.0.3/24,192.168.0.1
n3,00:00:00:00:00:03,192.168.1.2/24,192.168.1.1
n4,00:00:00:00:00:04,192.168.1.3/24,192.168.1.1
n5,00:00:00:00:00:0A,192.168.3.2/24,192.168.3.1
n6,00:00:00:00:00:0B,192.168.3.3/24,192.168.3.1
n1r3,00:00:00:00:00:21,192.168.5.3/24,192.168.5.1
n1r4,00:00:00:00:00:22,192.168.7.3/24,192.168.7.1
n1r5,00:00:00:00:00:23,192.168.9.3/24,192.168.9.1
n1r6,00:00:00:00:00:24,192.168.11.3/24,192.168.11.1
n1r7,00:00:00:00:00:25,192.168.13.3/24,192.168.13.1
n1r8,00:00:00:00:00:26,192.168.15.3/24,192.168.15.1
n1r9,00:00:00:00:00:27,192.168.17.3/24,192.168.17.1
#ROUTER
r1,3,00:00:00:00:00:05,192.168.0.1/24,00:00:00:00:00:06,192.168.1.1/24,00:00:00:00:00:07,192.168.2.1/24
r2,3,00:00:00:00:00:08,192.168.2.2/24,00:00:00:00:00:09,192.168.3.1/24,00:00:00:00:00:0C,192.168.4.1/24
r3,3,00:00:00:00:00:0D,192.168.4.2/24,00:00:00:00:00:0E,192.168.5.1/24,00:00:00:00:00:0F,192.168.6.1/24
r4,3,00:00:00:00:00:10,192.168.6.2/24,00:00:00:00:00:11,192.168.7.1/24,00:00:00:00:00:12,192.168.8.1/24
r5,3,00:00:00:00:00:13,192.168.8.2/24,00:00:00:00:00:14,192.168.9.1/24,00:00:00:00:00:15,192.168.10.1/24
r6,3,00:00:00:00:00:16,192.168.10.2/24,00:00:00:00:00:17,192.168.11.1/24,00:00:00:00:00:18,192.168.12.1/24
r7,3,00:00:00:00:00:19,192.168.12.2/24,00:00:00:00:00:1A,192.168.13.1/24,00:00:00:00:00:1B,192.168.14.1/24
r8,3,00:00:00:00:00:1C,192.168.14.2/24,00:00:00:00:00:1D,192.168.15.1/24,00:00:00:00:00:1E,192.168.16.1/24
r9,2,00:00:00:00:00:1F,192.168.16.2/24,00:00:00:00:00:20,192.168.17.1/24
#ROUTERTABLE
r1,192.168.0.0/24,0.0.0.0,0
r1,192.168.1.0/24,0.0.0.0,1
r1,192.168.2.0/24,0.0.0.0,2
r1,192.168.3.0/24,192.168.2.2/24,2
r1,192.168.4.0/24,192.168.2.2/24,2
r1,192.168.5.0/24,192.168.2.2/24,2
r1,192.168.6.0/24,192.168.2.2/24,2
r1,192.168.7.0/24,192.168.2.2/24,2
r1,192.168.8.0/24,192.168.2.2/24,2
r1,192.168.9.0/24,192.168.2.2/24,2
r1,192.168.10.0/24,192.168.2.2/24,2
r1,192.168.11.0/24,192.168.2.2/24,2
r1,192.168.12.0/24,192.168.2.2/24,2
r1,192.168.13.0/24,192.168.2.2/24,2
r1,192.168.14.0/24,192.168.2.2/24,2
r1,192.168.15.0/24,192.168.2.2/24,2
r1,192.168.16.0/24,192.168.2.2/24,2
r1,192.168.17.0/24,192.168.2.2/24,2
r2,192.168.0.0/24,192.168.2.1/24,0
r2,192.168.1.0/24,192.168.2.1/24,0
r2,192.168.2.0/24,0.0.0.0,0
r2,192.168.3.0/24,0.0.0.0,1
r2,192.168.4.0/24,0.0.0.0,2
r2,192.168.5.0/24,192.168.4.2/24,2
r2,192.168.6.0/24,192.168.4.2/24,2
r2,192.168.7.0/24,192.168.4.2/24,2
r2,192.168.8.0/24,192.168.4.2/24,2
r2,192.168.9.0/24,192.168.4.2/24,2
r2,192.168.10.0/24,192.168.4.2/24,2
r2,192.168.11.0/24,192.168.4.2/24,2
r2,192.168.12.0/24,192.168.4.2/24,2
r2,192.168.13.0/24,192.168.4.2/24,2
r2,192.168.14.0/24,192.168.4.2/24,2
r2,192.168.15.0/24,192.168.4.2/24,2
r2,192.168.16.0/24,192.168.4.2/24,2
r2,192.168.17.0/24,192.168.4.2/24,2
r3,192.168.0.0/24,192.168.4.1/24,0
r3,192.168.1.0/24,192.168.4.1/24,0
r3,192.168.2.0/24,192.168.4.1/24,0
r3,192.168.3.0/24,192.168.4.1/24,0
r3,192.168.4.0/24,0.0.0.0,0
r3,192.168.5.0/24,0.0.0.0,1
r3,192.168.6.0/24,0.0.0.0,2
r3,192.168.7.0/24,192.168.6.2/24,2
r3,192.168.8.0/24,192.168.6.2/24,2
r3,192.168.9.0/24,192.168.6.2/24,2
r3,192.168.10.0/24,192.168.6.2/24,2
r3,192.168.11.0/24,192.168.6.2/24,2
r3,192.168.12.0/24,192.168.6.2/24,2
r3,192.168.13.0/24,192.168.6.2/24,2
r3,192.168.14.0/24,192.168.6.2/24,2
r3,192.168.15.0/24,192.168.6.2/24,2
r3,192.168.16.0/24,192.168.6.2/24,2
r3,192.168.17.0/24,192.168.6.2/24,2
r4,192.168.0.0/24,192.168.6.1/24,0
r4,192.168.1.0/24,192.168.6.1/24,0
r4,192.168.2.0/24,192.168.6.1/24,0
r4,192.168.3.0/24,192.168.6.1/24,0
r4,192.168.4.0/24,192.168.6.1/24,0
r4,192.168.5.0/24,192.168.6.1/24,0
r4,192.168.6.0/24,0.0.0.0,0
r4,192.168.7.0/24,0.0.0.0,1
r4,192.168.8.0/24,0.0.0.0,2
r4,192.168.9.0/24,192.168.8.2/24,2
r4,192.168.10.0/24,192.168.8.2/24,2
r4,192.168.11.0/24,192.168.8.2/24,2
r4,192.168.12.0/24,192.168.8.2/24,2
r4,192.168.13.0/24,192.168.8.2/24,2
r4,192.168.14.0/24,192.168.8.2/24,2
r4,192.168.15.0/24,192.168.8.2/24,2
r4,192.168.16.0/24,192.168.8.2/24,2
r4,192.168.17.0/24,192.168.8.2/24,2
r5,192.168.0.0/24,192.168.8.1/24,0
r5,192.168.1.0/24,192.168.8.1/24,0
r5,192.168.2.0/24,192.168.8.1/24,0
r5,192.168.3.0/24,192.168.8.1/24,0
r5,192.168.4.0/24,192.168.8.1/24,0
r5,192.168.5.0/24,192.168.8.1/24,0
r5,192.168.6.0/24,192.168.8.1/24,0
r5,192.168.7.0/24,192.168.8.1/24,0
r5,192.168.8.0/24,0.0.0.0,0
r5,192.168.9.0/24,0.0.0.0,1
r5,192.168.10.0/24,0.0.0.0,2
r5,192.168.11.0/24,192.168.10.2/24,2
r5,192.168.12.0/24,192.168.10.2/24,2
r5,192.168.13.0/24,192.168.10.2/24,2
r5,192.168.14.0/24,192.168.10.2/24,2
r5,192.168.15.0/24,192.168.10.2/24,2
r5,192.168.16.0/24,192.168.10.2/24,2
r5,192.168.17.0/24,192.168.10.2/24,2
r6,192.168.0.0/24,192.168.10.1/24,0
r6,192.168.1.0/24,192.168.10.1/24,0
r6,192.168.2.0/24,192.168.10.1/24,0
r6,192.168.3.0/24,192.168.10.1/24,0
r6,192.168.4.0/24,192.168.10.1/24,0
r6,192.168.5.0/24,192.168.10.1/24,0
r6,192.168.6.0/24,192.168.10.1/24,0
r6,192.168.7.0/24,192.168.10.1/24,0
r6,192.168.8.0/24,192.168.10.1/24,0
r6,192.168.9.0/24,192.168.10.1/24,0
r6,192.168.10.0/24,0.0.0.0,0
r6,192.168.11.0/24,0.0.0.0,1
r6,192.168.12.0/24,0.0.0.0,2
r6,192.168.13.0/24,192.168.12.2/24,2
r6,192.168.14.0/24,192.168.12.2/24,2
r6,192.168.15.0/24,192.168.12.2/24,2
r6,192.168.16.0/24,192.168.12.2/24,2
r6,192.168.17.0/24,192.168.12.2/24,2
r7,192.168.0.0/24,192.168.12.1/24,0
r7,192.168.1.0/24,192.168.12.1/24,0
r7,192.168.2.0/24,192.168.12.1/24,0
r7,192.168.3.0/24,192.168.12.1/24,0
r7,192.168.4.0/24,192.168.12.1/24,0
r7,192.168.5.0/24,192.168.12.1/24,0
r7,192.168.6.0/24,192.168.12.1/24,0
r7,192.168.7.0/24,192.168.12.1/24,0
r7,192.168.8.0/24,192.168.12.1/24,0
r7,192.168.9.0/24,192.168.12.1/24,0
r7,192.168.10.0/24,192.168.12.1/24,0
r7,192.168.11.0/24,192.168.12.1/24,0
r7,192.168.12.0/24,0.0.0.0,0
r7,192.168.13.0/24,0.0.0.0,1
r7,192.168.14.0/24,0.0.0.0,2
r7,192.168.15.0/24,192.168.14.2/24,2
r7,192.168.16.0/24,192.168.14.2/24,2
r7,192.168.17.0/24,192.168.14.2/24,2
r8,192.168.0.0/24,192.168.14.1/24,0
r8,192.168.1.0/24,192.168.14.1/24,0
r8,192.168.2.0/24,192.168.14.1/24,0
r8,192.168.3.0/24,192.168.14.1/24,0
r8,192.168.4.0/24,192.168.14.1/24,0
r8,192.168.5.0/24,192.168.14.1/24,0
r8,192.168.6.0/24,192.168.14.1/24,0
r8,192.168.7.0/24,192.168.14.1/24,0
r8,192.168.8.0/24,192.168.14.1/24,0
r8,192.168.9.0/24,192.168.14.1/24,0
r8,192.168.10.0/24,192.168.14.1/24,0
r8,192.168.11.0/24,192.168.14.1/24,0
r8,192.168.12.0/24,192.168.14.1/24,0
r8,192.168.13.0/24,192.168.14.1/24,0
r8,192.168.14.0/24,0.0.0.0,0
r8,192.168.15.0/24,0.0.0.0,1
r8,192.168.16.0/24,0.0.0.0,2
r8,192.168.17.0/24,192.168.16.2/24,2
r9,192.168.0.0/24,192.168.16.1/24,0
r9,192.168.1.0/24,192.168.16.1/24,0
r9,192.168.2.0/24,192.168.16.1/24,0
r9,192.168.3.0/24,192.168.16.1/24,0
r9,192.168.4.0/24,192.168.16.1/24,0
r9,192.168.5.0/24,192.168.16.1/24,0
r9,192.168.6.0/24,192.168.16.1/24,0
r9,192.168.7.0/24,192.168.16.1/24,0
r9,192.168.8.0/24,192.168.16.1/24,0
r9,192.168.9.0/24,192.168.16.1/24,0
r9,192.168.10.0/24,192.168.16.1/24,0
r9,192.168.11.0/24,192.168.16.1/24,0
r9,192.168.12.0/24,192.168.16.1/24,0
r9,192.168.13.0/24,192.168.16.1/24,0
r9,192.168.14.0/24,192.168.16.1/24,0
r9,192.168.15.0/24,192.168.16.1/24,0
r9,192.168.16.0/24,0.0.0.0,0
r9,192.168.17.0/24,0.0.0.0,1
